"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"85e67a2757c2fafd35713b304c022fdb",609,0,0,0,16,13,41,26
"ed8b5dcc133db64e16326537f2f64c4c",7,0,16,0,133,3,22,43
"9f1d6a5a3171867ce92d627a3b4b557c",0,0,0,0,0,0,0,0
"6011318139ef3bdd925055b3c612e6a6",150,0,0,0,172,0,0,0
"d86bcd00ae39cc7b7a105cb9364b8d30",59,0,237,0,43,0,95,0
"ff408a41338d52c3115620bb5ef44b87",136,29,66,0,49,38,45,0
"1b4eb07d78bfeac60a6995109ec82487",38,0,21,0,87,0,65,63
"178670df40d252c6323d40b81060628f",0,0,0,0,0,0,0,0
"bd066bcc193fc86c43dd9c77c795ceec",0,86,0,0,0,57,0,63
"aecb167f1e300f126360c6623584d317",0,0,45,0,0,0,892,79
"b0dcf682d2bef5d4471797e8def4e1e0",42,43,59,0,53,11,39,48
"baf4416c38587d0c5222895b3d08f5f9",0,43,38,6,122,24,57,59
"f6ba32cdec5722e5848761191cd8f3f7",0,0,0,0,0,0,126,143
"40eb1902a8775ed65a9b4b05a9209aa6",0,0,0,0,0,0,0,0
"4ffc59a4f2fc9339077a288b0ae1e3a5",91,18,64,26,60,9,49,49
"bc14c38f50bd718c07a6fad8d0b974f0",67,7,10,0,117,53,141,41
"ca09e3f82be57fbf5a843a5012ba01ae",0,0,0,0,0,0,0,0
"634260cc29df8c70fdde3bbac5121d66",83,6,0,0,94,0,111,71
"3c039c131d1d5538b3699fd245f354dd",72,31,0,233,0,0,0,0
"c0a64c29b86aa9015d95d6ac55f9ddaa",0,0,0,0,191,16,171,43
"f1861d5f09d19a81547ab0e3792c2b77",0,0,71,0,0,0,304,87
"7d64677a29ebe5c57f9e95558cea9241",0,0,0,0,460,0,0,26
"d8cf0ec201f75ea7eef1d6508f4492a5",9,26,65,0,25,19,11,19
"f399e9e512f1901cfbb178f25b35c429",0,0,104,32,0,8,20,11
"2fd1d1213a4ed89ce119a041622b39b0",43,0,43,0,89,0,0,42
"9d07979519eb2f5d922d5d4ea75ed32c",0,0,15,135,0,0,34,31
"17081b11b8db7733e28dbdf4aaf74b53",0,0,0,72,10,236,40,20
"89343d85f6982aeab48a11dc52a8168f",4,20,8,33,0,19,57,6
"91223854ec20c601a97cd8043f1816f7",112,22,0,0,0,36,0,120
"1b2eff75b5ddbbfb5d6ae504c864ae34",8,0,0,134,0,0,0,0
"db7289690f70cc3fe5dd7f6a68dec65b",0,0,108,0,411,0,62,60
"ba493d86a7a7c513995e13a7ceebed81",0,0,0,0,0,24,0,0
"25c4efe0035b7233fde7a2dd2d83e0a3",66,0,485,29,8,0,52,59
"e3b211d560b5b2aff7de2d585dcea6b8",37,0,40,0,8,0,53,78
"f14927172c88e709d0dcf6e6a10232f5",0,0,56,0,142,0,0,0
"7eaf948ec8dc1b946f75f9dee2ff1691",0,0,0,0,0,0,0,0
"052203998fe10109b9a42cf3b9a3327d",43,36,0,0,123,0,0,0
"3de3bf92837333d25e078fb6947a574d",16,0,65,5,0,0,175,27
"412726c4973e6b2f33ba8b2ddf4997d1",0,0,0,0,28,15,0,304
"35793d3b1419be8fd4ac4eb34049f9d3",0,0,0,0,2,125,36,73
"e1f25824b3a1bfa4410651cd4dc9f804",0,0,271,0,87,15,0,0
"de5818f82e62a71571569ca55cbc91d2",0,0,0,0,0,0,0,0
"ed77fbb032e00ccb7e895fe1f6d8bd79",0,44,0,27,0,0,0,0
"d4d6a8541dbe65c7237c826a01bd3c88",0,0,45,0,119,0,0,23
"c6fda4b9a67c5c303ab4f2116a1197e6",37,42,0,25,6,22,20,0
"8b2471c362e3095d9cbc85486a25605a",0,0,0,32,0,34,36,0
"c973282c675d1bd6d51aa1b8a3579c80",31,0,13,146,0,34,36,23
"9a91fabdbe0a8574f4021c0eb8737b08",0,0,0,0,0,0,64,0
"667fd6c8bacb2d3d95a41b43ff8accc9",0,0,0,0,0,0,0,0
"cbfe7c55d6fd20917833a65f9765a171",0,64,0,0,110,0,0,0
"977934f6974142575e69930151c3cd25",0,18,0,0,103,0,25,12
"de17fa4e217c05126bad3d8e4a5ed1ae",0,0,0,12,3,2,17,5
"f5a06f8f56274c99cf775157e27645c3",0,0,231,0,0,0,240,0
"37f237e4f643e74f18c07cade4c44034",36,0,13,0,121,16,0,35
"ff37ea8fc95f5bfb92384002c367ea19",0,0,0,86,0,0,83,0
"ae7474b9c054130787339740e2779a4d",69,14,75,16,84,0,70,64
"75ddc6024d4af3d7fe5b7f54cfe9c9e5",53,0,53,0,55,0,53,33
"6c00642a0e512f4c6e427ff9cf357af4",105,27,20,10,61,11,70,31
"f7740fb251b4636f610015fdb43d2c80",0,0,53,0,0,0,0,0
